mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,bpm,basic_max_max,advanced_max_max,team,total,home,index_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,bpm_opp,basic_max_max_opp,advanced_max_max_opp,team_opp,total_opp,home_opp,season,date,game_id,won
240.0,34.0,91.0,0.374,15.0,46.0,0.326,21.0,28.0,0.75,6.0,42.0,48.0,18.0,7.0,8.0,11.0,25.0,104.0,,,240.0,0.503,0.456,0.505,0.308,11.1,77.8,44.4,52.9,6.5,13.8,9.6,100.0,96.8,98.6,,240.0,240.0,MIN,104,0,1,240.0,40.0,94.0,0.426,9.0,36.0,0.25,17.0,26.0,0.654,12.0,48.0,60.0,24.0,4.0,12.0,17.0,22.0,106.0,,,240.0,0.503,0.473,0.383,0.277,22.2,88.9,55.6,60.0,3.7,26.7,13.9,100.0,98.6,96.8,,240.0,240.0,MIL,106,1,2020,20200101,2020-01-01,False
240.0,40.0,94.0,0.426,9.0,36.0,0.25,17.0,26.0,0.654,12.0,48.0,60.0,24.0,4.0,12.0,17.0,22.0,106.0,,,240.0,0.503,0.473,0.383,0.277,22.2,88.9,55.6,60.0,3.7,26.7,13.9,100.0,98.6,96.8,,240.0,240.0,MIL,106,1,0,240.0,34.0,91.0,0.374,15.0,46.0,0.326,21.0,28.0,0.75,6.0,42.0,48.0,18.0,7.0,8.0,11.0,25.0,104.0,,,240.0,0.503,0.456,0.505,0.308,11.1,77.8,44.4,52.9,6.5,13.8,9.6,100.0,96.8,98.6,,240.0,240.0,MIN,104,0,2020,20200101,2020-01-01,True
240.0,39.0,84.0,0.464,11.0,35.0,0.314,17.0,25.0,0.68,6.0,26.0,32.0,25.0,10.0,3.0,8.0,24.0,106.0,,,240.0,0.558,0.53,0.417,0.298,14.0,66.7,39.0,64.1,10.6,6.0,7.8,100.0,111.9,130.9,,240.0,240.0,DET,106,0,1,240.0,42.0,83.0,0.506,14.0,33.0,0.424,26.0,32.0,0.813,13.0,37.0,50.0,28.0,7.0,4.0,13.0,18.0,124.0,,,240.0,0.639,0.59,0.398,0.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,,240.0,240.0,PHI,124,1,2020,20200311,2020-03-11,False
240.0,42.0,83.0,0.506,14.0,33.0,0.424,26.0,32.0,0.813,13.0,37.0,50.0,28.0,7.0,4.0,13.0,18.0,124.0,,,240.0,0.639,0.59,0.398,0.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,,240.0,240.0,PHI,124,1,0,240.0,39.0,84.0,0.464,11.0,35.0,0.314,17.0,25.0,0.68,6.0,26.0,32.0,25.0,10.0,3.0,8.0,24.0,106.0,,,240.0,0.558,0.53,0.417,0.298,14.0,66.7,39.0,64.1,10.6,6.0,7.8,100.0,111.9,130.9,,240.0,240.0,DET,106,0,2020,20200311,2020-03-11,True
265.0,43.0,98.0,0.439,10.0,26.0,0.385,33.0,36.0,0.917,6.0,38.0,44.0,20.0,15.0,6.0,9.0,34.0,129.0,,,265.0,0.567,0.49,0.265,0.367,11.5,73.1,42.3,46.5,13.0,10.0,7.3,100.0,112.2,114.8,,265.0,265.0,SAS,129,0,1,265.0,43.0,94.0,0.457,13.0,34.0,0.382,33.0,45.0,0.733,14.0,46.0,60.0,26.0,4.0,4.0,18.0,24.0,132.0,,,265.0,0.58,0.527,0.362,0.479,26.9,88.5,57.7,60.5,3.5,5.6,13.7,100.0,114.8,112.2,,265.0,265.0,CLE,132,1,2020,20200308,2020-03-08,False
265.0,43.0,94.0,0.457,13.0,34.0,0.382,33.0,45.0,0.733,14.0,46.0,60.0,26.0,4.0,4.0,18.0,24.0,132.0,,,265.0,0.58,0.527,0.362,0.479,26.9,88.5,57.7,60.5,3.5,5.6,13.7,100.0,114.8,112.2,,265.0,265.0,CLE,132,1,0,265.0,43.0,98.0,0.439,10.0,26.0,0.385,33.0,36.0,0.917,6.0,38.0,44.0,20.0,15.0,6.0,9.0,34.0,129.0,,,265.0,0.567,0.49,0.265,0.367,11.5,73.1,42.3,46.5,13.0,10.0,7.3,100.0,112.2,114.8,,265.0,265.0,SAS,129,0,2020,20200308,2020-03-08,True
240.0,40.0,77.0,0.519,10.0,33.0,0.303,21.0,28.0,0.75,9.0,31.0,40.0,17.0,10.0,4.0,9.0,19.0,111.0,,,240.0,0.621,0.584,0.429,0.364,24.3,75.6,51.3,42.5,11.0,7.1,9.2,100.0,122.4,115.8,,240.0,240.0,UTA,111,0,1,240.0,40.0,86.0,0.465,9.0,30.0,0.3,16.0,22.0,0.727,10.0,28.0,38.0,24.0,4.0,2.0,11.0,23.0,105.0,,,240.0,0.549,0.517,0.349,0.256,24.4,75.7,48.7,60.0,4.4,4.5,10.3,100.0,115.8,122.4,,240.0,240.0,DET,105,1,2020,20200307,2020-03-07,True
240.0,40.0,86.0,0.465,9.0,30.0,0.3,16.0,22.0,0.727,10.0,28.0,38.0,24.0,4.0,2.0,11.0,23.0,105.0,,,240.0,0.549,0.517,0.349,0.256,24.4,75.7,48.7,60.0,4.4,4.5,10.3,100.0,115.8,122.4,,240.0,240.0,DET,105,1,0,240.0,40.0,77.0,0.519,10.0,33.0,0.303,21.0,28.0,0.75,9.0,31.0,40.0,17.0,10.0,4.0,9.0,19.0,111.0,,,240.0,0.621,0.584,0.429,0.364,24.3,75.6,51.3,42.5,11.0,7.1,9.2,100.0,122.4,115.8,,240.0,240.0,UTA,111,0,2020,20200307,2020-03-07,False
240.0,38.0,77.0,0.494,13.0,37.0,0.351,15.0,16.0,0.938,11.0,42.0,53.0,22.0,4.0,5.0,20.0,20.0,104.0,,,240.0,0.619,0.578,0.481,0.208,30.6,77.8,58.9,57.9,4.4,9.1,19.2,100.0,113.2,96.9,,240.0,240.0,DEN,104,0,1,240.0,34.0,90.0,0.378,9.0,35.0,0.257,12.0,16.0,0.75,12.0,25.0,37.0,21.0,8.0,3.0,10.0,20.0,89.0,,,240.0,0.459,0.428,0.389,0.178,22.2,69.4,41.1,61.8,8.7,7.5,9.3,100.0,96.9,113.2,,240.0,240.0,LAC,89,1,2020,20200915,2020-09-15,True
240.0,34.0,90.0,0.378,9.0,35.0,0.257,12.0,16.0,0.75,12.0,25.0,37.0,21.0,8.0,3.0,10.0,20.0,89.0,,,240.0,0.459,0.428,0.389,0.178,22.2,69.4,41.1,61.8,8.7,7.5,9.3,100.0,96.9,113.2,,240.0,240.0,LAC,89,1,0,240.0,38.0,77.0,0.494,13.0,37.0,0.351,15.0,16.0,0.938,11.0,42.0,53.0,22.0,4.0,5.0,20.0,20.0,104.0,,,240.0,0.619,0.578,0.481,0.208,30.6,77.8,58.9,57.9,4.4,9.1,19.2,100.0,113.2,96.9,,240.0,240.0,DEN,104,0,2020,20200915,2020-09-15,False
